Juniperus communis	43
Cedrus Atlantica	0
Thuja plicata	52
Taxodium distichum	9
Sequoiadendron Gigantem	0
Convolvulaceae	5
Baccharis Viminea	0
Sorbus scopulina	3
Amnosia Eastwoodiae	0
Ericameria Nauseosa	0
Chrysothamnus Viscidiflourus	0
Castilleja angustifolia	0
Clematis Orientalis	0
Prunus virginiana	31
Leonotis leonurus	0
Ulmus americana	9
Thalictrum Fendleri Englem	0
Ericameria Nauseosa var. indent	0
Shepherdia canadensis	4
Primula parryi	2
Pseudotsuga menziesii	6
Pinus contorta	6
Picea glauca	60
Sequoia sempervirens	10
Pseudotsuga menziesii	6
Picea glauca	60
Pinus strobus	5
Picea pungens	1
Pinus ponderosa	5
Abies balsamea	2
Abies lasiocarpa	3
Picea engelmannii	1
Abies grandis	3
Thuja plicata	52
Calocedrus decurrens	10
Taxus brevifolia	9
Pinus echinata	2
Taxus canadensis	26
Pinus taeda	3
Tsuga mertensiana	7
Rubus spectabilis	3
Magnolia fraseri	1
Magnolia grandiflora	2
Nymphaea odorata	51
Robinia pseudoacacia	35
Lindera benzoin	4
Fragaria chiloensis	10
Asimina triloba	2
Avicennia germinans	201
Rubus macraei	1
